Associação Educacional Nove de Julho - Uninove;2011-05-13;1;2800;2800; 585312; 8.71; 8.71;35582;38527;34900
Associação Educacional Nove de Julho - Uninove;2011-05-13;1;1200;1200; 250848; 8.71; 8.71;18427;22369;22546
Associação Educacional Nove de Julho - Uninove;2011-05-13;1;3600;3600; 705024; 8.16; 8.16;40557;39284;33090
Viscofan do Brasil Sociedade Comercial e Industrial Ltda;2010-08-31;10;54000;54000; 40302720; 3.39; 2.14;;;
Condomínio Edifício New England;2011-05-26;1;523;; 116106; 9.25; 9.25;8293;8452;8365
Condomínio Edifício José Paulino Nogueira;2011-05-27;1;573;; 127206; 9.25; 9.25;9064;9251;9911
Condomínio Edifício Mykonos;2011-05-26;1;1200;1100; 229944; 8.71; 8.71;14400;10260;12461
Condomínio São Paulo Trade Building;2011-05-30;1;520;520; 115440; 9.25; 9.25;7601;7365;7598
São Paulo Golf Club;2011-06-01;1;1500;1500; 313560; 8.71; 8.71;18000;10877;17549
Eli Lilly do Brasil ;2011-04-19;5;1088;1088; 1137178; 8.71; 8.71;;;
Condomínio Edifício Caesar Towers Paulista;2011-06-14;1;1622;1622; 339063; 8.71; 8.71;24986;30055;31238
Condomínio Edifício Padre João Manoel;2011-06-02;1;700;900; 199800; 9.25; 9.25;9607;9676;9868
Jaguaré Business Park;2011-06-07;1;4000;4000; 842112; 8.16;;;;
Nacco Materials Handling Group Brasil SA;2011-07-13;5;530;530; 588300; 9.25; 9.25;;;
Serviço Federal de Processamento de Dados - Serpro;2011-07-14;5;2005;2005; 2095626; 8.71; 8.71;;;
Biosintética Farmacêutica Ltda;2011-05-20;2;3001;3001; 1287098; 8.16; 8.16;;;
Condomínio Stadium;2011-06-30;1;3200;3200; 451584; 8.16; 8.16;;;
Condomínio Edifício Itaim Center;2011-07-08;1;1070;1070; 223673; 8.71; 8.71;16123;12798;9980
Associação dos Funcionários Públicos do Estado de São Paulo - AFPESP;2011-07-25;1;3898;3317; 513472; 6.45; 6.45;46776;46776;16626
Indústria Brasileira de Artigos Refratários IBAR LTDA;2011-07-31;1;2185;2185; 456752; 8.71; 8.71;36164;24191;22989
Pilkington Brasil Ltda;2011-08-01;1;1001;2000; 418080; 8.71;;15503;15249;10910
Torre 2000 Ed Julio de A Prado Penteado;2011-08-18;1;683;683; 151626; 9.25; 9.25;11077;11393;9922
Condomínio Edifício Bolsa de Cereais de São Paulo;2011-08-18;1;500;500; 112998; 9.25; 9.25;9647;9303;7281
Condomínio Edifício International Plaza II;2011-08-26;1;1750;1200; 250858; 8.71; 8.71;13485;24109;23641
Condomínio Edifício Contemporary Tower;2011-08-15;1;500;; 111000; 9.25; 9.25;;;
Edifício Vila Olímpia Corporate Plaza;2011-08-17;1;590;590; 130980; 9.25; 9.25;8243;7837;7718
Congregação das Filhas de Nossa Senhora do Monte Calvário- Hospital Santa Virgínia;2011-08-03;1;2065;; 431678; 8.71; 8.71;31613;30768;33358
Operadora de Shopping Center Eldorado SC Ltda;2011-08-30;1;20001;20001; 2436122; 6.87; 3.28;250047;254796;250245
Keiper Tecnologia de Assentos Automotivos Ltda;2011-09-01;1;1100;1800; 376272; 8.71; 8.71;13200;8132;13139
Tam Linhas Aéreas SA;2011-07-22;3;1800;1800; 1128816; 8.71; 8.71;;;
Kimberly-Clark Brasil Indústria e Comércio de Produtos de Higiene Ltda;2011-09-01;1;3780;3780; 1126080; 8.16; 8.16;68319;75493;81715
Condomínio Corporate Park;2011-09-22;1;1891;1500; 313560; 8.71; 8.71;22692;14416;22064
Condomínio Edifício Jardins Residence Service;2011-09-02;1;1001;1400; 292656; 8.71; 8.71;12012;7973;16083
Carlisa SA Empreendimentos e Participações ;2011-09-30;1;2090;3000; 627840; 8.72; 8.72;25080;22849;30680
Condomínio Edifício R Monteiro;2011-09-22;1;650;650; 154128; 9.88; 9.88;10100;11632;9981
Vertical Empreendimentos Esportivos LTDA;2011-10-01;5;1200;1200; 1339200; 9.30; 9.30;16317;12886;12468
Condomínio Edifício Pedroso de Moraes 1217;2011-09-26;1;1670;1670; 372744; 9.30; 9.30;;;
Esho - Empresa de Serviços Hospitalares SA;2011-10-05;1;1600;1345; 300204; 9.30; 9.30;8213;30290;34325
WS Lazzuri Empreendimentos e Consultoria Ltda ;2011-09-27;1;500;500; 100080; 8.34; 8.34;5953;5422;5694
Condomínio Edifício First Office Flat;2011-11-03;1;614;614; 145592; 9.88; 9.88;9780;9342;8706
Vale Soluções em Energia - VSE;2011-10-31;2;500;2000; 257760; 5.37;;28918;12115;5468
Condomínio Edifício Wilson Mendes Caldeira;2011-11-23;1;1054;1015; 226548; 9.30; 9.30;12648;2606;15872
Festo Brasil Ltda;2011-11-22;1;1300;1300; 290160; 9.30; 9.30;20199;18993;16988
C&A Modas Ltda;2011-11-29;1;1689;2809; 447213; 8.92; 8.92;24141;25751;19492
Condomínio Edifício Joaquim Floriano 100;2011-12-12;1;506;506; 119983; 9.88; 9.88;6757;6902;6981
ML Gomes Advogados Associados;2011-12-06;1;500;500; 118560; 9.88; 9.88;6568;6469;6493
"Associação Brasileira ""A Hebraica"" de São Paulo";2011-12-20;1;10001;10001; 1963396; 8.18; 8.18;136631;136978;123264
"Igreja Pentecostal ""Deus é Amor""";2011-12-28;1;1300;1300; 290160; 9.30; 9.30;21766;25396;27508
Voith Paper Máquinas e Equipamentos;2011-12-08;1;1001;10001; 981698; 8.18;;83342;39596;15445
Dou-Tex SA Indústria Têxtil;2011-12-28;1;3000;5000; 1086960; 8.72;;55272;52732;54357
Campo Belo Medical Center;2011-12-20;5;750;750; 889200; 9.88; 9.88;;;
