Bela Vista do Toldo|SC|6047|0||
Belford Roxo|RJ|474596|169|35.6|552
Belmiro Braga|MG|3400|0||
Belmonte|BA|22067|5|22.7|1037
Belmonte|SC|2643|0||
Belo Campo|BA|17625|1|5.7|2433
Belo Horizonte|MG|2395785|973|40.6|444
Belo Jardim|PE|72996|21|28.8|752
Belo Monte|AL|6499|0||
Belo Oriente|MG|23984|5|20.8|1120
Belo Vale|MG|7553|1||
Belterra|PA|16579|0|0.0|2620
Belágua|MA|6986|1||
Belém|AL|4635|1||
Belém|PA|1410430|643|45.6|343
Belém|PB|17167|4|23.3|1002
Belém de Maria|PE|11463|3|26.2|875
Belém de São Francisco|PE|20260|9|44.4|366
Belém do Brejo do Cruz|PB|7163|2||
Belém do Piauí|PI|3388|0||
Beneditinos|PI|9943|0||
Benedito Leite|MA|5497|0||
Benedito Novo|SC|10528|0|0.0|2620
Benevides|PA|54083|10|18.5|1291
Benjamin Constant|AM|34950|8|22.9|1024
Benjamin Constant do Sul|RS|2244|0||
Bento Fernandes|RN|5175|2||
Bento Gonçalves|RS|109653|17|15.5|1544
Bento de Abreu|SP|2717|0||
Bequimão|MA|20773|1|4.8|2506
Berilo|MG|12198|0|0.0|2620
Berizal|MG|4431|0||
Bernardino Batista|PB|3153|0||
Bernardino de Campos|SP|10784|2|18.5|1280
Bernardo Sayão|TO|4442|0||
Bernardo do Mearim|MA|6111|0||
Bertioga|SP|50304|10|19.9|1171
Bertolínia|PI|5350|2||
Bertópolis|MG|4508|2||
Beruri|AM|16158|2|12.4|1771
Betim|MG|388873|216|55.5|205
Betânia|PE|12109|4|33.0|625
Betânia do Piauí|PI|6042|1||
Bezerros|PE|58864|27|45.9|340
Bias Fortes|MG|3703|1||
Bicas|MG|13783|1|7.3|2264
Biguaçu|SC|59736|8|13.4|1688
Bilac|SP|7193|2||
Biquinhas|MG|2602|0||
Birigui|SP|110907|18|16.2|1481
Biritiba-Mirim|SP|29168|4|13.7|1674
Biritinga|BA|14866|0|0.0|2620
Bituruna|PR|15903|3|18.9|1254
Blumenau|SC|316139|28|8.9|2088
Boa Esperança|ES|14278|6|42.0|410
Boa Esperança|MG|38734|4|10.3|1908
Boa Esperança|PR|4479|1||
Boa Esperança do Iguaçu|PR|2713|0||
Boa Esperança do Sul|SP|13807|4|29.0|740
Boa Hora|PI|6467|0||
Boa Nova|BA|14620|3|20.5|1134
Boa Ventura|PB|5625|0||
Boa Ventura de São Roque|PR|6520|1||
Boa Viagem|CE|52829|29|54.9|211
Boa Vista|PB|6415|1||
Boa Vista|RR|296959|83|27.9|794
Boa Vista da Aparecida|PR|7834|0||
Boa Vista das Missões|RS|2103|0||
Boa Vista do Buricá|RS|6573|0||
Boa Vista do Cadeado|RS|2437|0||
Boa Vista do Gurupi|MA|8375|2||
Boa Vista do Incra|RS|2447|0||
Boa Vista do Ramos|AM|15659|2|12.8|1735
Boa Vista do Sul|RS|2767|0||
Boa Vista do Tupim|BA|17898|1|5.6|2445
Boca da Mata|AL|26010|12|46.1|336
Boca do Acre|AM|31171|5|16.0|1499
Bocaina|PI|4394|1||
Bocaina|SP|11073|0|0.0|2620
Bocaina de Minas|MG|5011|0||
Bocaina do Sul|SC|3314|0||
Bocaiúva|MG|47236|5|10.6|1889
Bocaiúva do Sul|PR|11280|7|62.1|135
Bodocó|PE|35676|9|25.2|916
Bodoquena|MS|7928|1||
Bodó|RN|2373|0||
Bofete|SP|9960|0||
Boituva|SP|50420|14|27.8|801
Bom Conselho|PE|45983|8|17.4|1381
Bom Despacho|MG|46482|4|8.6|2123
Bom Jardim|MA|39740|6|15.1|1579
Bom Jardim|PE|37949|9|23.7|978
Bom Jardim|RJ|25738|4|15.5|1542
Bom Jardim da Serra|SC|4443|0||
Bom Jardim de Goiás|GO|8477|2||
Bom Jardim de Minas|MG|6480|0||
Bom Jesus|PB|2432|0||
Bom Jesus|PI|23642|1|4.2|2538
Bom Jesus|RN|9566|1||
Bom Jesus|RS|11445|1|8.7|2104
Bom Jesus|SC|2599|1||
Bom Jesus da Lapa|BA|64740|13|20.1|1159
Bom Jesus da Penha|MG|3942|1||
Bom Jesus da Serra|BA|10120|0|0.0|2620
Bom Jesus das Selvas|MA|30259|9|29.7|714
Bom Jesus de Goiás|GO|21402|9|42.1|409
Bom Jesus do Amparo|MG|5593|2||
Bom Jesus do Araguaia|MT|5555|5||
Bom Jesus do Galho|MG|15242|5|32.8|631
Bom Jesus do Itabapoana|RJ|35677|0|0.0|2620
Bom Jesus do Norte|ES|9514|0||
Bom Jesus do Oeste|SC|2130|0||
Bom Jesus do Sul|PR|3742|0||
Bom Jesus do Tocantins|PA|15629|6|38.4|488
Bom Jesus do Tocantins|TO|3987|1||
Bom Jesus dos Perdões|SP|20674|4|19.3|1208
Bom Lugar|MA|15314|1|6.5|2343
Bom Princípio|RS|12136|0|0.0|2620
Bom Princípio do Piauí|PI|5407|0||
Bom Progresso|RS|2253|1||
Bom Repouso|MG|10449|0|0.0|2620
Bom Retiro|SC|9090|2||
Bom Retiro do Sul|RS|11576|0|0.0|2620
Bom Sucesso|MG|17271|3|17.4|1384
Bom Sucesso|PB|4998|1||
Bom Sucesso|PR|6620|2||
Bom Sucesso de Itararé|SP|3623|1||
Bom Sucesso do Sul|PR|3279|0||
Bombinhas|SC|15136|2|13.2|1703
Bonfim|MG|6811|1||
Bonfim|RR|11188|0|0.0|2620
Bonfim do Piauí|PI|5471|0||
Bonfinópolis|GO|7866|2||
Bonfinópolis de Minas|MG|5778|2||
Boninal|BA|13893|0|0.0|2620
Bonito|BA|15126|2|13.2|1702
Bonito|MS|19985|5|25.0|924
Bonito|PA|14207|3|21.1|1104
Bonito|PE|37539|18|48.0|302
Bonito de Minas|MG|9947|1||
Bonito de Santa Fé|PB|11042|1|9.1|2064
Bonópolis|GO|3640|0||
Boqueirão|PB|17043|4|23.5|993
Boqueirão do Leão|RS|7651|0||
Boqueirão do Piauí|PI|6288|0||
Boquim|SE|25727|11|42.8|397
Boquira|BA|22025|2|9.1|2063
Boracéia|SP|4348|0||
Borba|AM|35919|4|11.1|1854
Borborema|PB|5169|2||
Borborema|SP|14731|0|0.0|2620
Borda da Mata|MG|17523|0|0.0|2620
Borebi|SP|2348|0||
Borrazópolis|PR|7641|1||
Borá|SP|807|0||
Bossoroca|RS|6753|0||
Botelhos|MG|14893|1|6.7|2324
Botucatu|SP|130201|16|12.3|1778
Botumirim|MG|6447|2||
Botuporã|BA|10950|0|0.0|2620
Botuverá|SC|4584|0||
Bozano|RS|2179|0||
Braga|RS|3628|0||
Braganey|PR|5667|0||
Bragança|PA|116164|43|37.0|516
Bragança Paulista|SP|150023|24|16.0|1501
Branquinha|AL|10471|9|86.0|43
