Araripina|PE|78270|21576|12|55.6|308
Araruama|RJ|116418|27865|23|82.5|186
Araruna|PB|19076|5065|1|**|**
Araruna|PR|13471|3301|0|**|**
Arataca|BA|10307|2605|1|**|**
Aratiba|RS|6482|1375|0|**|**
Aratuba|CE|11404|3323|1|**|**
Aratuípe|BA|8632|2554|1|**|**
Araucária|PR|122878|34684|38|109.6|106
Arauá|SE|9495|2692|0|**|**
Araxá|MG|95888|25713|5|19.4|623
Araçagi|PB|17093|4446|3|**|**
Araçariguama|SP|17975|5009|6|**|**
Araças|BA|11642|3677|1|**|**
Araçatuba|SP|183441|43770|9|20.6|612
Araçaí|MG|2258|541|0|**|**
Araçoiaba|PE|18617|5507|1|**|**
Araçoiaba da Serra|SP|28429|6822|0|**|**
Araçu|GO|3753|842|0|**|**
Araçuaí|MG|36059|10006|6|60.0|285
Araújos|MG|8135|2177|0|**|**
Arceburgo|MG|9732|2604|0|**|**
Arco-Íris|SP|1890|443|0|**|**
Arcos|MG|37188|9646|0|**|**
Arcoverde|PE|69880|18810|12|63.8|269
Areado|MG|13958|3539|0|**|**
Areal|RJ|11654|2931|0|**|**
Arealva|SP|7932|1737|0|**|**
Areia|PB|23391|6641|1|**|**
Areia Branca|RN|25736|6836|0|**|**
Areia Branca|SE|17164|4975|5|**|**
Areia de Baraúnas|PB|1901|566|0|**|**
Areial|PB|6536|1696|0|**|**
Areias|SP|3711|899|0|**|**
Areiópolis|SP|10622|3033|0|**|**
Arenápolis|MT|10122|2721|4|**|**
Arenópolis|GO|3168|650|0|**|**
Argirita|MG|2860|656|0|**|**
Aricanduva|MG|4848|1295|0|**|**
Arinos|MG|17669|4511|5|**|**
Aripuanã|MT|19344|5530|2|**|**
Ariquemes|RO|92747|27182|38|139.8|47
Ariranha|SP|8709|2248|1|**|**
Ariranha do Ivaí|PR|2389|541|0|**|**
Armazém|SC|7886|2106|0|**|**
Armação dos Búzios|RJ|28973|7247|7|**|**
Arneiroz|CE|7667|2009|0|**|**
Aroazes|PI|5742|1406|0|**|**
Aroeiras|PB|19016|4739|2|**|**
Aroeiras do Itaim|PI|2442|627|0|**|**
Arraial|PI|4655|1238|1|**|**
Arraial do Cabo|RJ|28295|6462|1|**|**
Arraias|TO|10594|2744|2|**|**
Arroio Grande|RS|18368|4151|0|**|**
Arroio Trinta|SC|3504|801|0|**|**
Arroio do Meio|RS|19060|4705|0|**|**
Arroio do Padre|RS|2756|653|0|**|**
Arroio do Sal|RS|8113|1692|0|**|**
Arroio do Tigre|RS|12774|3186|1|**|**
Arroio dos Ratos|RS|13647|3137|0|**|**
Artur Nogueira|SP|45847|12623|1|7.9|773
Aruanã|GO|7859|2042|0|**|**
Arujá|SP|77279|20619|8|38.8|436
Arvoredo|SC|2254|553|0|**|**
Arvorezinha|RS|10220|2493|0|**|**
Arês|RN|13166|3836|0|**|**
Ascurra|SC|7485|1939|0|**|**
Aspásia|SP|1802|402|0|**|**
Assaré|CE|22633|5768|5|**|**
Assaí|PR|16099|3917|2|**|**
Assis|SP|96336|24175|0|0.0|817
Assis Brasil|AC|6308|1815|0|**|**
Assis Chateaubriand|PR|32981|7477|6|**|**
Assunção|PB|3607|1034|0|**|**
Assunção do Piauí|PI|7590|1946|0|**|**
Astolfo Dutra|MG|13237|3394|0|**|**
Astorga|PR|24859|6046|1|**|**
Atalaia|AL|44892|12665|25|197.4|16
Atalaia|PR|3898|872|0|**|**
Atalaia do Norte|AM|15924|5164|0|**|**
Atalanta|SC|3281|828|0|**|**
Ataléia|MG|14109|3378|3|**|**
Atibaia|SP|128914|32331|5|15.5|676
Atilio Vivacqua|ES|10080|2706|1|**|**
Augustinópolis|TO|16401|4920|0|**|**
Augusto Corrêa|PA|41628|12021|2|16.6|659
Augusto Pestana|RS|6990|1430|0|**|**
Augusto Severo|RN|9330|2559|0|**|**
Augusto de Lima|MG|4930|1205|0|**|**
Aurelino Leal|BA|13059|3804|0|**|**
Auriflama|SP|14307|3561|0|**|**
Aurilândia|GO|3562|795|0|**|**
Aurora|CE|24470|6484|2|**|**
Aurora|SC|5561|1424|0|**|**
Aurora do Pará|PA|27576|8277|2|**|**
Aurora do Tocantins|TO|3499|831|0|**|**
Autazes|AM|33312|8840|4|**|**
Avanhandava|SP|11685|3643|1|**|**
Avaré|SP|83910|21629|4|18.5|636
Avaí|SP|5014|1284|0|**|**
Aveiro|PA|15899|4139|4|**|**
Avelino Lopes|PI|11258|2854|0|**|**
Avelinópolis|GO|2442|567|0|**|**
Axixá|MA|11599|3456|0|**|**
Axixá do Tocantins|TO|9343|2604|1|**|**
Açailândia|MA|106422|32160|23|71.5|241
Açu|RN|54031|15202|7|46.0|384
Açucena|MG|10093|2353|0|**|**
Babaçulândia|TO|10439|2796|1|**|**
Bacabal|MA|101195|28891|13|45.0|389
Bacabeira|MA|15591|4948|0|**|**
Bacuri|MA|17437|5288|0|**|**
Bacurituba|MA|5387|1526|0|**|**
Bady Bassitt|SP|15065|3621|1|**|**
Baependi|MG|18426|4525|0|**|**
Bagre|PA|25398|7596|0|**|**
Bagé|RS|117090|28653|1|3.5|815
Baianópolis|BA|13420|3674|0|**|**
Baixa Grande|BA|20031|5215|1|**|**
Baixa Grande do Ribeiro|PI|10930|3364|1|**|**
Baixio|CE|6072|1616|0|**|**
Baixo Guandu|ES|29272|7049|8|**|**
Baião|PA|39263|11837|3|25.3|554
Balbinos|SP|4063|1673|0|**|**
Baldim|MG|7877|1889|0|**|**
Baliza|GO|3933|871|0|**|**
Balneário Arroio do Silva|SC|10121|2316|1|**|**
Balneário Barra do Sul|SC|8791|1638|0|**|**
Balneário Camboriú|SC|113319|31878|10|31.4|498
Balneário Gaivota|SC|8655|1971|0|**|**
Balneário Pinhal|RS|11371|2230|5|**|**
Balneário Piçarras|SC|18010|4417|3|**|**
Balsa Nova|PR|11539|3075|0|**|**
Balsas|MA|87057|27205|15|55.1|311
Bambuí|MG|22891|5214|0|**|**
Banabuiú|CE|17488|4800|2|**|**
Bananal|SP|10301|2434|0|**|**
Bananeiras|PB|21753|5666|4|**|**
Bandeira|MG|4938|1143|0|**|**
Bandeira do Sul|MG|5405|1394|0|**|**
Bandeirante|SC|2866|624|0|**|**
Bandeirantes|MS|6637|1625|0|**|**
Bandeirantes|PR|31951|7999|1|**|**
Bandeirantes do Tocantins|TO|3200|820|0|**|**
Bannach|PA|3379|893|0|**|**
Banzaê|BA|11840|3237|0|**|**
Baraúna|PB|4379|1121|0|**|**
Baraúna|RN|24977|7227|4|**|**
Barbacena|MG|128120|32124|5|15.6|674
Barbalha|CE|56576|16509|21|127.2|66
Barbosa|SP|6708|1632|1|**|**
Barbosa Ferraz|PR|12437|2865|0|**|**
Barcarena|PA|105385|32590|31|95.1|154
Barcelona|RN|3944|985|0|**|**
Barcelos|AM|25948|8754|0|**|**
Bariri|SP|32102|7762|0|**|**
Barra|BA|50134|14476|3|20.7|610
Barra Bonita|SC|1853|379|0|**|**
Barra Bonita|SP|35210|8516|0|**|**
Barra D'Alcântara|PI|3858|992|0|**|**
Barra Funda|RS|2388|560|0|**|**
Barra Longa|MG|5930|1237|0|**|**
Barra Mansa|RJ|178880|44190|16|36.2|462
Barra Velha|SC|23422|5521|4|**|**
Barra da Estiva|BA|20767|6324|4|**|**
Barra de Guabiraba|PE|13054|3791|4|**|**
Barra de Santa Rosa|PB|14413|3707|0|**|**
Barra de Santana|PB|8191|2078|0|**|**
Barra de Santo Antônio|AL|14665|4297|5|**|**
Barra de São Francisco|ES|41110|10579|11|104.0|131
Barra de São Miguel|AL|7755|2302|4|**|**
Barra de São Miguel|PB|5679|1534|1|**|**
Barra do Bugres|MT|32464|9333|2|**|**
Barra do Chapéu|SP|5305|1309|0|**|**
Barra do Choça|BA|35501|10291|4|38.9|433
Barra do Corda|MA|84180|23941|11|45.9|385
Barra do Garças|MT|57235|15540|3|19.3|625
Barra do Guarita|RS|3105|736|1|**|**
Barra do Jacaré|PR|2728|632|0|**|**
Barra do Mendes|BA|13914|3395|0|**|**
Barra do Ouro|TO|4206|1083|0|**|**
Barra do Piraí|RJ|95726|22586|4|17.7|645
Barra do Quaraí|RS|4032|1022|0|**|**
Barra do Ribeiro|RS|12682|2872|1|**|**
Barra do Rio Azul|RS|1941|394|0|**|**
Barra do Rocha|BA|6038|1743|0|**|**
Barra do Turvo|SP|7672|1730|1|**|**
Barra dos Coqueiros|SE|26059|7445|3|**|**
Barracão|PR|9796|2537|2|**|**
Barracão|RS|5322|1206|0|**|**
Barras|PI|45448|13112|1|7.6|778
Barreira|CE|19958|5683|1|**|**
Barreiras|BA|141081|44658|0|0.0|817
Barreiras do Piauí|PI|3255|856|0|**|**
Barreirinha|AM|28077|7294|1|**|**
Barreirinhas|MA|58083|17167|1|5.8|803
Barreiros|PE|40973|11713|7|59.8|287
Barretos|SP|113338|29052|3|10.3|732
Barrinha|SP|29144|8719|2|**|**
Barro|CE|21742|5799|1|**|**
Barro Alto|BA|13914|3649|1|**|**
Barro Alto|GO|9089|2435|1|**|**
Barro Duro|PI|6580|1772|1|**|**
Barro Preto|BA|6122|1712|5|**|**
Barrocas|BA|14495|4563|0|**|**
Barrolândia|TO|5390|1410|0|**|**
Barroquinha|CE|14560|4070|0|**|**
Barros Cassal|RS|11101|2563|0|**|**
Barroso|MG|19787|4908|1|**|**
Barueri|SP|245652|69688|23|33.0|486
Barão|RS|5793|1451|0|**|**
Barão de Antonina|SP|3165|687|0|**|**
Barão de Cocais|MG|29205|8058|0|**|**
Barão de Cotegipe|RS|6521|1489|0|**|**
Barão de Grajaú|MA|17862|5363|0|**|**
Barão de Melgaço|MT|7578|1874|0|**|**
Barão de Monte Alto|MG|5643|1312|0|**|**
Barão do Triunfo|RS|7072|1709|0|**|**
Bastos|SP|20424|5028|1|**|**
Bataguassu|MS|20389|5597|3|**|**
Batalha|AL|17420|5067|1|**|**
Batalha|PI|26023|7262|0|**|**
Batatais|SP|57286|14629|0|0.0|817
Batayporã|MS|10983|2758|0|**|**
Baturité|CE|33863|9307|8|**|**
Bauru|SP|348146|88829|21|23.6|577
Bayeux|PB|100543|28040|31|110.6|100
Baía Formosa|RN|8687|2365|1|**|**
Baía da Traição|PB|8243|2322|1|**|**
Bebedouro|SP|75069|18838|2|10.6|729
Beberibe|CE|50364|13743|2|14.6|692
Bela Cruz|CE|31259|9004|1|**|**
Bela Vista|MS|23395|6188|2|**|**
Bela Vista da Caroba|PR|3861|810|0|**|**
Bela Vista de Goiás|GO|25361|6486|2|**|**
Bela Vista de Minas|MG|10028|2537|0|**|**
Bela Vista do Maranhão|MA|12335|3595|1|**|**
Bela Vista do Paraíso|PR|15087|3592|0|**|**
Bela Vista do Piauí|PI|3854|1000|0|**|**
Bela Vista do Toldo|SC|6047|1545|0|**|**
Belford Roxo|RJ|474596|122482|86|70.2|246
Belmiro Braga|MG|3400|734|0|**|**
Belmonte|BA|22067|5927|4|**|**
Belmonte|SC|2643|630|0|**|**
Belo Campo|BA|17625|4692|0|**|**
Belo Horizonte|MG|2395785|637744|586|91.9|158
Belo Jardim|PE|72996|20098|9|44.8|392
Belo Monte|AL|6499|1880|0|**|**
Belo Oriente|MG|23984|6499|2|**|**
Belo Vale|MG|7553|1770|0|**|**
Belterra|PA|16579|4225|0|**|**
Belágua|MA|6986|1920|1|**|**
Belém|AL|4635|1285|0|**|**
Belém|PA|1410430|403736|411|101.8|140
Belém|PB|17167|4452|3|**|**
Belém de Maria|PE|11463|3010|1|**|**
Belém de São Francisco|PE|20260|5606|6|**|**
Belém do Brejo do Cruz|PB|7163|1869|1|**|**
Belém do Piauí|PI|3388|896|0|**|**
Beneditinos|PI|9943|2747|0|**|**
Benedito Leite|MA|5497|1466|0|**|**
Benedito Novo|SC|10528|2674|0|**|**
Benevides|PA|54083|16233|4|24.6|561
Benjamin Constant|AM|34950|10296|4|38.9|434
Benjamin Constant do Sul|RS|2244|560|0|**|**
Bento Fernandes|RN|5175|1515|1|**|**
Bento Gonçalves|RS|109653|29128|6|20.6|611
Bento de Abreu|SP|2717|689|0|**|**
Bequimão|MA|20773|5824|0|**|**
Berilo|MG|12198|3622|0|**|**
Berizal|MG|4431|1252|0|**|**
Bernardino Batista|PB|3153|820|0|**|**
Bernardino de Campos|SP|10784|2523|1|**|**
Bernardo Sayão|TO|4442|1167|0|**|**
Bernardo do Mearim|MA|6111|1644|0|**|**
Bertioga|SP|50304|13360|2|15.0|683
Bertolínia|PI|5350|1451|1|**|**
Bertópolis|MG|4508|1119|0|**|**
Beruri|AM|16158|4328|1|**|**
Betim|MG|388873|111092|145|130.5|63
Betânia|PE|12109|3223|2|**|**
Betânia do Piauí|PI|6042|1640|0|**|**
Bezerros|PE|58864|15241|14|91.9|159
Bias Fortes|MG|3703|769|0|**|**
Bicas|MG|13783|3231|0|**|**
Biguaçu|SC|59736|16625|4|24.1|572
Bilac|SP|7193|1734|2|**|**
Biquinhas|MG|2602|536|0|**|**
Birigui|SP|110907|27571|6|21.8|600
Biritiba-Mirim|SP|29168|7603|1|**|**
Biritinga|BA|14866|4263|0|**|**
Bituruna|PR|15903|4036|3|**|**
Blumenau|SC|316139|86808|9|10.4|731
Boa Esperança|ES|14278|3739|4|**|**
Boa Esperança|MG|38734|9932|2|**|**
Boa Esperança|PR|4479|1018|0|**|**
Boa Esperança do Iguaçu|PR|2713|649|0|**|**
Boa Esperança do Sul|SP|13807|3673|2|**|**
Boa Hora|PI|6467|1842|0|**|**
Boa Nova|BA|14620|3985|2|**|**
Boa Ventura|PB|5625|1637|0|**|**
Boa Ventura de São Roque|PR|6520|1709|1|**|**
Boa Viagem|CE|52829|13682|11|80.4|197
Boa Vista|PB|6415|1787|0|**|**
Boa Vista|RR|296959|92839|49|52.8|327
Boa Vista da Aparecida|PR|7834|1687|0|**|**
Boa Vista das Missões|RS|2103|499|0|**|**
Boa Vista do Buricá|RS|6573|1508|0|**|**
Boa Vista do Cadeado|RS|2437|517|0|**|**
Boa Vista do Gurupi|MA|8375|2310|1|**|**
Boa Vista do Incra|RS|2447|576|0|**|**
Boa Vista do Ramos|AM|15659|4406|1|**|**
Boa Vista do Sul|RS|2767|535|0|**|**
Boa Vista do Tupim|BA|17898|4929|0|**|**
Boca da Mata|AL|26010|7354|10|**|**
Boca do Acre|AM|31171|8881|4|**|**
Bocaina|PI|4394|1016|1|**|**
