Ibicoara;BA;17.805;1;5,6;2443
Boa Vista do Tupim;BA;17.898;1;5,6;2445
Serra Dourada;BA;17.963;1;5,6;2446
Buritirama;BA;19.853;1;5,0;2488
Seabra;BA;42.163;2;4,7;2513
Rafael Jambeiro;BA;22.916;1;4,4;2529
Macaúbas;BA;47.915;2;4,2;2542
Santo Estêvão;BA;48.897;2;4,1;2550
Mundo Novo;BA;24.867;1;4,0;2552
Santana;BA;24.987;1;4,0;2555
Maracás;BA;25.024;1;4,0;2556
Paratinga;BA;29.853;1;3,3;2580
Sento Sé;BA;38.174;1;2,6;2603
Andaraí;BA;13.942;0;0,0;2620
Angical;BA;13.992;0;0,0;2620
Anguera;BA;10.427;0;0,0;2620
Antônio Cardoso;BA;11.545;0;0,0;2620
Aracatu;BA;13.542;0;0,0;2620
Baianópolis;BA;13.420;0;0,0;2620
Barra do Mendes;BA;13.914;0;0,0;2620
Barreiras;BA;141.081;0;0,0;2620
Barrocas;BA;14.495;0;0,0;2620
Biritinga;BA;14.866;0;0,0;2620
Bom Jesus da Serra;BA;10.120;0;0,0;2620
Boninal;BA;13.893;0;0,0;2620
Botuporã;BA;10.950;0;0,0;2620
Brejolândia;BA;11.247;0;0,0;2620
Brotas de Macaúbas;BA;10.479;0;0,0;2620
Caculé;BA;22.577;0;0,0;2620
Caém;BA;10.013;0;0,0;2620
Campo Alegre de Lourdes;BA;28.156;0;0,0;2620
Condeúba;BA;17.421;0;0,0;2620
Cotegipe;BA;13.614;0;0,0;2620
Cristópolis;BA;13.374;0;0,0;2620
Dom Basílio;BA;11.454;0;0,0;2620
Érico Cardoso;BA;10.746;0;0,0;2620
Fátima;BA;17.555;0;0,0;2620
Formosa do Rio Preto;BA;23.169;0;0,0;2620
Heliópolis;BA;13.099;0;0,0;2620
Ibotirama;BA;25.617;0;0,0;2620
Igaporã;BA;15.238;0;0,0;2620
Ipecaetá;BA;15.025;0;0,0;2620
Iraquara;BA;23.246;0;0,0;2620
Itaeté;BA;15.063;0;0,0;2620
Itiruçu;BA;12.589;0;0,0;2620
Jandaíra;BA;10.377;0;0,0;2620
Jiquiriçá;BA;14.096;0;0,0;2620
Lagoa Real;BA;14.187;0;0,0;2620
Lençóis;BA;10.589;0;0,0;2620
Licínio de Almeida;BA;12.268;0;0,0;2620
Luís Eduardo Magalhães;BA;66.371;0;0,0;2620
Macajuba;BA;11.201;0;0,0;2620
Mansidão;BA;12.759;0;0,0;2620
Milagres;BA;10.994;0;0,0;2620
Mucugê;BA;10.145;0;0,0;2620
Muquém de São Francisco;BA;10.433;0;0,0;2620
Oliveira dos Brejinhos;BA;21.813;0;0,0;2620
Paramirim;BA;21.226;0;0,0;2620
Pindaí;BA;15.695;0;0,0;2620
Piripá;BA;12.219;0;0,0;2620
Presidente Jânio Quadros;BA;12.854;0;0,0;2620
Quijingue;BA;27.357;0;0,0;2620
Riachão das Neves;BA;21.941;0;0,0;2620
Rio do Antônio;BA;15.015;0;0,0;2620
Rio do Pires;BA;11.948;0;0,0;2620
Ruy Barbosa;BA;30.010;0;0,0;2620
Santa Rita de Cássia;BA;26.653;0;0,0;2620
São Desidério;BA;28.921;0;0,0;2620
Tanhaçu;BA;20.001;0;0,0;2620
Tanque Novo;BA;16.323;0;0,0;2620
Tremedal;BA;17.750;0;0,0;2620
Urandi;BA;16.493;0;0,0;2620
